combination,flow_model,backbone,sequence_id,current_frame,previous_frame,coverage_threshold,epe_raw_common_cache_px,epe_candidate_common_cache_px,common_valid_count,common_valid_ratio,epe_raw_native_px,epe_aligned_native_px,native_valid_count,native_valid_ratio,boundary_epe_raw_common_cache_px,boundary_epe_candidate_common_cache_px,fb_consistency_mean_px,fb_valid_ratio_lt1px,aligned_better_frame,aligned_better_pixel_ratio,clean_pixel_degradation_ratio,temporal_disagreement_px,notes,flow_model_for_warp,k,method,selected_ages,weights,memory_epe_cache_px,epe_memory_native_px,improves_over_raw,oracle_best_memory_per_pixel_epe,oracle_raw_or_memory_per_pixel_epe,oracle_best_memory_per_region_epe,oracle_gain_over_raw,status
A_BiDA_alignment_only,RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.05,22.24886131286621,22.176387786865234,11539,0.4451774691358025,8.022991180419922,8.559494972229004,111944,0.085406494140625,26.95465850830078,26.86101531982422,0.06322843581438065,0.989158950617284,True,0.6303839087486267,0.0006933009717613459,0.3792774975299835,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.25,10.7223539352417,10.570382118225098,2693,0.1038966049382716,8.022991180419922,8.559494972229004,111944,0.085406494140625,16.687177658081055,16.71201515197754,0.06322843581438065,0.989158950617284,True,0.612699568271637,0.0029706647619605064,0.3533321022987366,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.5,4.729438781738281,4.7514214515686035,252,0.009722222222222222,8.022991180419922,8.559494972229004,111944,0.085406494140625,4.592974662780762,4.47892427444458,0.06322843581438065,0.989158950617284,False,0.5396825671195984,0.02777777798473835,0.7350676655769348,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.9,,,0,0.0,8.022991180419922,8.559494972229004,111944,0.085406494140625,,,0.06322843581438065,0.989158950617284,False,,,,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,RAFT,StereoAnywhere,dataset_7_keyframe_4,001100,001099,0.05,22.47243881225586,22.497798919677734,11539,0.4451774691358025,6.9119038581848145,7.296538829803467,111944,0.085406494140625,27.071582794189453,27.071752548217773,0.06322843581438065,0.989158950617284,False,0.680908203125,0.0,0.13034959137439728,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,RAFT,StereoAnywhere,dataset_7_keyframe_4,001100,001099,0.25,10.794519424438477,10.909788131713867,2693,0.1038966049382716,6.9119038581848145,7.296538829803467,111944,0.085406494140625,16.674304962158203,16.724565505981445,0.06322843581438065,0.989158950617284,False,0.5681396126747131,0.0,0.2035032957792282,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,RAFT,StereoAnywhere,dataset_7_keyframe_4,001100,001099,0.5,4.9268364906311035,5.15777587890625,252,0.009722222222222222,6.9119038581848145,7.296538829803467,111944,0.085406494140625,4.647395133972168,4.81491756439209,0.06322843581438065,0.989158950617284,False,0.341269850730896,0.0,0.3739532232284546,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,RAFT,StereoAnywhere,dataset_7_keyframe_4,001100,001099,0.9,,,0,0.0,6.9119038581848145,7.296538829803467,111944,0.085406494140625,,,0.06322843581438065,0.989158950617284,False,,,,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,000032,0.05,3.974390745162964,3.9910624027252197,21547,0.8312885802469135,1.2162922620773315,1.2458256483078003,630184,0.480792236328125,8.879537582397461,8.911046981811523,0.041045982390642166,0.9864583333333333,False,0.3613032102584839,0.0,0.0383555106818676,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,000032,0.25,3.515988826751709,3.5308380126953125,20058,0.7738425925925926,1.2162922620773315,1.2458256483078003,630184,0.480792236328125,7.1527419090271,7.180385112762451,0.041045982390642166,0.9864583333333333,False,0.36753416061401367,0.0,0.03606603667140007,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,000032,0.5,2.627869129180908,2.6401031017303467,16075,0.6201774691358025,1.2162922620773315,1.2458256483078003,630184,0.480792236328125,3.3797998428344727,3.39353609085083,0.041045982390642166,0.9864583333333333,False,0.38233280181884766,0.0,0.03222297877073288,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,000032,0.9,0.4873952865600586,0.5049254298210144,97,0.003742283950617284,1.2162922620773315,1.2458256483078003,630184,0.480792236328125,0.6169663667678833,0.6194279789924622,0.041045982390642166,0.9864583333333333,False,0.34020617604255676,0.0,0.030831322073936462,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_3_keyframe_1,000033,000032,0.05,4.017187118530273,4.030247211456299,21547,0.8312885802469135,1.0545785427093506,1.0594559907913208,630184,0.480792236328125,8.918776512145996,8.952253341674805,0.041045982390642166,0.9864583333333333,False,0.39420801401138306,0.0,0.04480035603046417,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_3_keyframe_1,000033,000032,0.25,3.558285713195801,3.568816900253296,20058,0.7738425925925926,1.0545785427093506,1.0594559907913208,630184,0.480792236328125,7.197211742401123,7.224022388458252,0.041045982390642166,0.9864583333333333,False,0.4019343852996826,0.0,0.041499510407447815,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_3_keyframe_1,000033,000032,0.5,2.6707279682159424,2.6774790287017822,16075,0.6201774691358025,1.0545785427093506,1.0594559907913208,630184,0.480792236328125,3.4338672161102295,3.44351863861084,0.041045982390642166,0.9864583333333333,False,0.4223328232765198,0.0,0.03707705810666084,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_3_keyframe_1,000033,000032,0.9,0.5,0.5060197710990906,97,0.003742283950617284,1.0545785427093506,1.0594559907913208,630184,0.480792236328125,0.6591538190841675,0.659270167350769,0.041045982390642166,0.9864583333333333,False,0.3814432919025421,0.0,0.021797098219394684,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,StereoAnywhere,dataset_3_keyframe_1,000033,000032,0.05,4.040273189544678,4.054405212402344,21547,0.8312885802469135,1.0898934602737427,1.1182316541671753,630184,0.480792236328125,8.973478317260742,8.987061500549316,0.041045982390642166,0.9864583333333333,False,0.3670116364955902,0.0,0.0466940738260746,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,StereoAnywhere,dataset_3_keyframe_1,000033,000032,0.25,3.5746614933013916,3.589668035507202,20058,0.7738425925925926,1.0898934602737427,1.1182316541671753,630184,0.480792236328125,7.234415054321289,7.2488274574279785,0.041045982390642166,0.9864583333333333,False,0.3691295385360718,0.0,0.04298339784145355,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,StereoAnywhere,dataset_3_keyframe_1,000033,000032,0.5,2.678706169128418,2.691833257675171,16075,0.6201774691358025,1.0898934602737427,1.1182316541671753,630184,0.480792236328125,3.449347496032715,3.4620108604431152,0.041045982390642166,0.9864583333333333,False,0.39073094725608826,0.0,0.03481240198016167,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,StereoAnywhere,dataset_3_keyframe_1,000033,000032,0.9,0.4992348551750183,0.5108780860900879,97,0.003742283950617284,1.0898934602737427,1.1182316541671753,630184,0.480792236328125,0.6564194560050964,0.6581991910934448,0.041045982390642166,0.9864583333333333,False,0.4329896867275238,0.0,0.0252845361828804,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000161,000160,0.05,4.40140962600708,4.384068489074707,23190,0.8946759259259259,0.9894022345542908,1.0414049625396729,665718,0.5079025268554688,10.906845092773438,10.87605094909668,0.04932873323559761,0.9910108024691358,True,0.6970245838165283,0.0,0.036883026361465454,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000161,000160,0.25,3.525538444519043,3.510103940963745,20849,0.8043595679012345,0.9894022345542908,1.0414049625396729,665718,0.5079025268554688,7.600250244140625,7.572747230529785,0.04932873323559761,0.9910108024691358,True,0.6945177316665649,0.0,0.03379407152533531,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000161,000160,0.5,2.7576725482940674,2.744865894317627,17384,0.6706790123456791,0.9894022345542908,1.0414049625396729,665718,0.5079025268554688,3.2859318256378174,3.264253854751587,0.04932873323559761,0.9910108024691358,True,0.694086492061615,0.0,0.029123444110155106,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000161,000160,0.9,,,0,0.0,0.9894022345542908,1.0414049625396729,665718,0.5079025268554688,,,0.04932873323559761,0.9910108024691358,False,,,,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_3_keyframe_1,000161,000160,0.05,4.461104869842529,4.440171718597412,23190,0.8946759259259259,0.7933564782142639,0.809783935546875,665718,0.5079025268554688,11.042074203491211,10.979986190795898,0.04932873323559761,0.9910108024691358,True,0.7190167903900146,0.0,0.03880789875984192,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_3_keyframe_1,000161,000160,0.25,3.5753438472747803,3.5592541694641113,20849,0.8043595679012345,0.7933564782142639,0.809783935546875,665718,0.5079025268554688,7.6875762939453125,7.64340353012085,0.04932873323559761,0.9910108024691358,True,0.7127919793128967,0.0,0.03313414007425308,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_3_keyframe_1,000161,000160,0.5,2.801405429840088,2.789034605026245,17384,0.6706790123456791,0.7933564782142639,0.809783935546875,665718,0.5079025268554688,3.3363802433013916,3.316861867904663,0.04932873323559761,0.9910108024691358,True,0.7152553796768188,0.0,0.027550145983695984,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_3_keyframe_1,000161,000160,0.9,,,0,0.0,0.7933564782142639,0.809783935546875,665718,0.5079025268554688,,,0.04932873323559761,0.9910108024691358,False,,,,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,StereoAnywhere,dataset_3_keyframe_1,000161,000160,0.05,4.462758541107178,4.44258451461792,23190,0.8946759259259259,0.8658744096755981,0.8691940307617188,665718,0.5079025268554688,11.037528038024902,11.001232147216797,0.04932873323559761,0.9910108024691358,True,0.7196205258369446,0.0,0.03776378184556961,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,StereoAnywhere,dataset_3_keyframe_1,000161,000160,0.25,3.5796313285827637,3.559741973876953,20849,0.8043595679012345,0.8658744096755981,0.8691940307617188,665718,0.5079025268554688,7.700405597686768,7.666793346405029,0.04932873323559761,0.9910108024691358,True,0.7213775515556335,0.0,0.033662211149930954,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,StereoAnywhere,dataset_3_keyframe_1,000161,000160,0.5,2.804682970046997,2.7862744331359863,17384,0.6706790123456791,0.8658744096755981,0.8691940307617188,665718,0.5079025268554688,3.354351282119751,3.326007127761841,0.04932873323559761,0.9910108024691358,True,0.7257248163223267,0.0,0.02874312363564968,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,StereoAnywhere,dataset_3_keyframe_1,000161,000160,0.9,,,0,0.0,0.8658744096755981,0.8691940307617188,665718,0.5079025268554688,,,0.04932873323559761,0.9910108024691358,False,,,,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_7_keyframe_4,001100,001099,0.05,22.31709098815918,22.261106491088867,11530,0.44483024691358025,7.376105785369873,7.260437965393066,111894,0.08536834716796875,26.988847732543945,26.95244598388672,0.05391089245676994,0.9895061728395061,True,0.6679965257644653,0.0,0.08419503271579742,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_7_keyframe_4,001100,001099,0.25,10.931941986083984,10.876976013183594,2693,0.1038966049382716,7.376105785369873,7.260437965393066,111894,0.08536834716796875,16.84635353088379,16.806379318237305,0.05391089245676994,0.9895061728395061,True,0.6606015563011169,0.0,0.09211594611406326,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_7_keyframe_4,001100,001099,0.5,5.57415771484375,5.445441722869873,252,0.009722222222222222,7.376105785369873,7.260437965393066,111894,0.08536834716796875,5.416325569152832,5.284310340881348,0.05391089245676994,0.9895061728395061,True,0.8055555820465088,0.0,0.1761970818042755,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,S2M2-S,dataset_7_keyframe_4,001100,001099,0.9,,,0,0.0,7.376105785369873,7.260437965393066,111894,0.08536834716796875,,,0.05391089245676994,0.9895061728395061,False,,,,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.05,22.246225357055664,22.175445556640625,11530,0.44483024691358025,8.006447792053223,8.539334297180176,111894,0.08536834716796875,26.95465850830078,26.862083435058594,0.05391089245676994,0.9895061728395061,True,0.6323503851890564,0.0006938421283848584,0.3810044527053833,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.25,10.7223539352417,10.56933879852295,2693,0.1038966049382716,8.006447792053223,8.539334297180176,111894,0.08536834716796875,16.687177658081055,16.71246337890625,0.05391089245676994,0.9895061728395061,True,0.6063868999481201,0.0029706647619605064,0.3543509542942047,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.5,4.729438781738281,4.736507415771484,252,0.009722222222222222,8.006447792053223,8.539334297180176,111894,0.08536834716796875,4.592974662780762,4.463135719299316,0.05391089245676994,0.9895061728395061,False,0.5357142686843872,0.02777777798473835,0.735633909702301,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
A_BiDA_alignment_only,SEA-RAFT,RAFT-Stereo,dataset_7_keyframe_4,001100,001099,0.9,,,0,0.0,8.006447792053223,8.539334297180176,111894,0.08536834716796875,,,0.05391089245676994,0.9895061728395061,False,,,,BiDAVideo original flow_warp; common-mask evaluation,,,,,,,,,,,,,
