probability_threshold,error_threshold_px,uncertainty_threshold_px,SCARED-C_raw_epe,SCARED-C_a2_epe,SCARED-C_refined_epe,SCARED-C_epe_gain,SCARED-C_retained_a2_gain,SCARED-C_intervention_coverage,SCARED-C_intervention_precision,SCARED-C_false_update_rate,SCARED-C_clean_degradation,SERV-CT_raw_epe,SERV-CT_a2_epe,SERV-CT_refined_epe,SERV-CT_epe_gain,SERV-CT_retained_a2_gain,SERV-CT_intervention_coverage,SERV-CT_intervention_precision,SERV-CT_false_update_rate,SERV-CT_clean_degradation
0.65,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.25,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.25,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.25,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.5,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.25,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.25,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.25,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.5,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.5,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.5,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.5,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.25,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.25,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.25,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.5,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.5,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.5,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.5,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.25,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.25,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.25,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.25,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,1.0,0.25,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,1.0,0.5,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,1.0,1.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
0.95,1.0,2.0,0.19187043607234955,0.18235889077186584,0.19187043607234955,0.0,0.0,0.0,0.0,0.0,0.0,1.0237590074539185,1.41615891456604,1.0237590074539185,0.0,0.0,0.0,0.0,0.0,0.0
